Slab         DMA       ETAC      ETOH      HOH       PHBA    
0.0-0.5      DMA: 4.0  ETAC: 3.0  ETOH: 5.0  HOH: 205.0  PHBA: 0.0  
0.5-1.0      DMA: 3.0  ETAC: 8.0  ETOH: 3.0  HOH: 269.0  PHBA: 0.0  
1.0-1.5      DMA: 4.0  ETAC: 3.0  ETOH: 2.0  HOH: 294.0  PHBA: 0.0  
1.5-2.0      DMA: 7.0  ETAC: 1.0  ETOH: 6.0  HOH: 284.0  PHBA: 0.0  
2.0-2.5      DMA: 5.0  ETAC: 4.0  ETOH: 1.0  HOH: 283.0  PHBA: 0.0  
2.5-3.0      DMA: 1.0  ETAC: 3.0  ETOH: 1.0  HOH: 315.0  PHBA: 0.0  
3.0-3.5      DMA: 5.0  ETAC: 6.0  ETOH: 3.0  HOH: 273.0  PHBA: 0.0  
3.5-4.0      DMA: 5.0  ETAC: 2.0  ETOH: 4.0  HOH: 262.0  PHBA: 3.0  
4.0-4.5      DMA: 7.0  ETAC: 5.0  ETOH: 5.0  HOH: 264.0  PHBA: 1.0  
4.5-5.0      DMA: 3.0  ETAC: 5.0  ETOH: 4.0  HOH: 263.0  PHBA: 2.0  
5.0-5.5      DMA: 5.0  ETAC: 8.0  ETOH: 6.0  HOH: 245.0  PHBA: 0.0  
5.5-6.0      DMA: 8.0  ETAC: 4.0  ETOH: 0.0  HOH: 255.0  PHBA: 1.0  
6.0-6.5      DMA: 4.0  ETAC: 5.0  ETOH: 2.0  HOH: 269.0  PHBA: 1.0  
6.5-7.0      DMA: 6.0  ETAC: 6.0  ETOH: 4.0  HOH: 264.0  PHBA: 0.0  
7.0-7.5      DMA: 7.0  ETAC: 4.0  ETOH: 5.0  HOH: 244.0  PHBA: 2.0  
7.5-8.0      DMA: 9.0  ETAC: 2.0  ETOH: 3.0  HOH: 236.0  PHBA: 1.0  
8.0-8.5      DMA: 4.0  ETAC: 6.0  ETOH: 5.0  HOH: 255.0  PHBA: 0.0  
8.5-9.0      DMA: 6.0  ETAC: 7.0  ETOH: 6.0  HOH: 253.0  PHBA: 1.0  
9.0-9.5      DMA: 6.0  ETAC: 12.0  ETOH: 11.0  HOH: 237.0  PHBA: 0.0  
9.5-10.0     DMA: 5.0  ETAC: 8.0  ETOH: 1.0  HOH: 244.0  PHBA: 0.0  
10.0-10.5    DMA: 6.0  ETAC: 6.0  ETOH: 6.0  HOH: 235.0  PHBA: 2.0  
10.5-11.0    DMA: 6.0  ETAC: 11.0  ETOH: 2.0  HOH: 231.0  PHBA: 0.0  
11.0-11.5    DMA: 4.0  ETAC: 2.0  ETOH: 7.0  HOH: 277.0  PHBA: 1.0  
11.5-12.0    DMA: 1.0  ETAC: 7.0  ETOH: 5.0  HOH: 293.0  PHBA: 0.0  
12.0-12.5    DMA: 4.0  ETAC: 4.0  ETOH: 3.0  HOH: 289.0  PHBA: 1.0  
12.5-13.0    DMA: 6.0  ETAC: 4.0  ETOH: 4.0  HOH: 254.0  PHBA: 0.0  
13.0-13.5    DMA: 2.0  ETAC: 3.0  ETOH: 2.0  HOH: 299.0  PHBA: 0.0  
13.5-14.0    DMA: 2.0  ETAC: 3.0  ETOH: 4.0  HOH: 286.0  PHBA: 1.0  
14.0-14.5    DMA: 7.0  ETAC: 4.0  ETOH: 3.0  HOH: 282.0  PHBA: 1.0  
14.5-15.0    DMA: 2.0  ETAC: 4.0  ETOH: 2.0  HOH: 296.0  PHBA: 0.0  
15.0-15.5    DMA: 1.0  ETAC: 7.0  ETOH: 6.0  HOH: 293.0  PHBA: 0.0  
15.5-16.0    DMA: 3.0  ETAC: 5.0  ETOH: 2.0  HOH: 293.0  PHBA: 0.0  
16.0-16.5    DMA: 4.0  ETAC: 4.0  ETOH: 5.0  HOH: 269.0  PHBA: 0.0  
16.5-17.0    DMA: 7.0  ETAC: 15.0  ETOH: 2.0  HOH: 203.0  PHBA: 0.0  
17.0-17.5    DMA: 7.0  ETAC: 13.0  ETOH: 6.0  HOH: 210.0  PHBA: 1.0  
17.5-18.0    DMA: 8.0  ETAC: 11.0  ETOH: 10.0  HOH: 193.0  PHBA: 1.0  
18.0-18.5    DMA: 0.0  ETAC: 0.0  ETOH: 1.0  HOH: 58.0  PHBA: 0.0  
